rms,tasa_cruces_cero,proporcion_silencio,amplitud_maxima,amplitud_minima,amplitud_media,varianza_amplitud,asimetria_amplitud,curtosis_amplitud,mediana_amplitud,rango_intercuartilico,pico_autocorrelacion,cruces_umbral,entropia_temporal,centroide_espectral_media,centroide_espectral_varianza,centroide_espectral_asimetria,centroide_espectral_curtosis,ancho_banda_media,ancho_banda_varianza,rolloff_espectral_media,planitud_espectral_media,contrast_espectral_media,mfcc1_media,mfcc2_media,mfcc3_media,mfcc4_media,mfcc5_media,mfcc6_media,mfcc7_media,mfcc8_media,mfcc9_media,mfcc10_media,mfcc11_media,mfcc12_media,mfcc13_media,chroma1_media,chroma2_media,chroma3_media,chroma4_media,chroma5_media,chroma6_media,chroma7_media,chroma8_media,chroma9_media,chroma10_media,chroma11_media,chroma12_media,tonnetz1_media,tonnetz2_media,tonnetz3_media,tonnetz4_media,tonnetz5_media,tonnetz6_media,coeficiente_polinomico0,densidad_onset,etiqueta
0.041758887469768524,0.14240264892578125,0.75,0.33938586711883545,0.0,0.014321363531053066,0.0017438044305890799,0.08737249175903333,15.828433109509152,2.8167984055471607e-05,5.604954321825062e-05,56.290008544921875,5264,0.8616245170967094,1779.8148431690424,1383687.5634733741,1.4934161798967398,2.866244730692067,2057.8186587485807,871433.7522677497,3886.238479614258,0.06808842718601227,19.77416104596973,-547.2838134765625,43.718936920166016,-3.0404794216156006,2.5740230083465576,-2.019803524017334,-2.6482973098754883,-0.36541005969047546,-5.288239479064941,-4.207983016967773,-1.7569372653961182,-3.6776773929595947,-3.659850597381592,-2.3733160495758057,0.49057459831237793,0.45642974972724915,0.4674062132835388,0.4652443528175354,0.5127558708190918,0.5435715913772583,0.5657268166542053,0.6025857925415039,0.6241397857666016,0.5506597757339478,0.5354486703872681,0.5407372117042542,0.03637639562831059,-0.028879124772170008,0.01744489499833387,-0.00163654796779207,-0.008565187009015568,0.0017875362536870357,0.08575253511609038,0.763268232345581,AdriaM
0.06525769467062341,0.442169189453125,0.0,0.4274290085432107,4.521851298838536e-06,0.048505254399358586,0.004258481739194459,0.040462595495444315,2.6620137127907144,0.03789634616724684,0.07583916607086305,137.4665335190208,14632,1.823186075832364,5343.76311814918,169835.03946639,-2.022450221053678,2.9591588514853235,3239.537816425542,9288.71361584411,9303.353118896484,0.486600251254368,12.774733880833477,-87.11553828591123,1.657450178408436,2.1597041693259564,-0.6294786173830813,-0.9469474532206076,-1.7636874623764744,-1.9284996431263794,-1.835456635942863,-1.4786412272121074,0.034972155776168634,-0.5997044313912612,-0.6120990124287489,-0.7520882059900309,0.6975498213029669,0.6834248503172302,0.6940898756000076,0.7321296784046697,0.7623881440849759,0.6981201080150181,0.6146798670571674,0.6231584029538244,0.7086459323481091,0.7229778643490874,0.7210924985405164,0.7789624778448216,-0.018074714749480716,-0.02662838286234582,0.012852288342197371,-0.005766724106533377,-0.005573012719761182,-0.004007049727258527,1.2784878883844846,0.9243783273022687,AdriaM
0.041758887469768524,0.1426849365234375,0.75,0.33938586711883545,0.0,0.014321362599730492,0.0017438044305890799,0.08737242931031744,15.828430716774129,2.8167984055471607e-05,5.604954321825062e-05,56.29000473022461,5292,0.8616245170967094,1854.2513403139033,1477964.4346879157,1.4917906901239393,2.41514234669481,2111.1327099060595,830027.8980741671,4017.6246643066406,0.07104438543319702,19.85322762575802,-547.66064453125,43.742347717285156,-3.0767149925231934,2.6149723529815674,-1.9088681936264038,-2.578843355178833,-0.38619863986968994,-5.329066276550293,-4.185763359069824,-1.7196155786514282,-3.671874523162842,-3.6636781692504883,-2.3613696098327637,0.544949471950531,0.48431792855262756,0.46513527631759644,0.4689171612262726,0.48100048303604126,0.5404250621795654,0.5526469945907593,0.5789974927902222,0.6007828712463379,0.6296406984329224,0.5447884798049927,0.5623739957809448,0.01990701086016714,-0.03693166560166573,0.017449346545617514,0.00031538374605537874,-0.01622414716486208,0.004492150688747672,0.08572465008630605,0.7629600763320923,AdriaM
0.030178599059581757,0.059471001059322036,0.7457627118644068,0.2664373219013214,7.301934122454223e-13,0.010585603304207325,0.0009107478545047343,-1.1448197464300096,17.028773293120246,3.118877793895081e-05,6.217533018570975e-05,27.167612075805664,1875,0.9267771783400639,1720.9612504377403,1169524.1583177035,1.7340423946294259,3.9639759455845214,2020.3086293217837,804018.5274412559,3729.4412903866523,0.03776948153972626,20.218157936301363,-574.5194091796875,51.6320915222168,-4.3256659507751465,1.252256989479065,-3.0169153213500977,-3.3328521251678467,-0.321207195520401,-5.851980209350586,-4.854340076446533,-2.1377058029174805,-4.243165016174316,-4.083194255828857,-3.016301155090332,0.5036150813102722,0.41912683844566345,0.36770743131637573,0.36707261204719543,0.41237783432006836,0.5062516927719116,0.5200158953666687,0.5180034041404724,0.5283808708190918,0.5672644376754761,0.5044783353805542,0.5664855241775513,0.0009716576739934019,-0.033688627465716846,0.03422062645145341,-0.007707597301105317,-0.018136868970883152,0.004254358573974601,0.06351235514557671,0.7368268966674805,AdriaM
0.030947430059313774,0.0843658447265625,0.75,0.2992350161075592,6.807397527619496e-13,0.01087777130305767,0.000957743264734745,-0.22115165570053288,20.75187604063301,2.7923029847443104e-05,5.515394559552078e-05,30.915950775146484,2853,0.8528227339131913,1845.662662719315,1262630.2665812853,1.6818498671101882,3.5166616192342737,2062.4071665051724,759749.5776852348,3831.2278747558594,0.04436223953962326,20.98599646252399,-561.2005615234375,45.099220275878906,-7.857342720031738,-0.9325281381607056,-5.828705787658691,-3.946451425552368,-2.953266143798828,-7.536071300506592,-3.788569450378418,-3.345482349395752,-5.494247913360596,-3.7140257358551025,-3.4971723556518555,0.48325315117836,0.504130482673645,0.44392573833465576,0.4063698649406433,0.3691001832485199,0.3689047694206238,0.37638604640960693,0.4423532485961914,0.4707756042480469,0.49859005212783813,0.5377862453460693,0.5469106435775757,-0.0006692366822084947,-0.04115667941672384,-0.032055208241218186,0.019695211405632605,0.006808692340826908,-0.004003158850537122,0.06442062444828173,0.6745936870574951,AdriaM
0.0391378328204155,0.09290519593253968,0.746031746031746,0.3420923352241516,4.720100839453482e-15,0.013257317245006561,0.0015317697543650866,0.20631874719897753,17.828752999261628,3.0082679586485028e-05,5.980447349429596e-05,48.794525146484375,3293,0.8292648946016714,1786.0012866574195,1212696.8391579632,1.701765907959653,3.8566481586989667,2091.383289094408,763951.5002124571,3888.623046875,0.05745058134198189,19.22106083905108,-552.4216918945312,45.53591537475586,-2.4988491535186768,2.5428290367126465,-2.390157461166382,-3.060736656188965,-0.8462623953819275,-5.633983612060547,-4.342238426208496,-1.8462024927139282,-3.6833434104919434,-3.635495662689209,-2.37332820892334,0.5432324409484863,0.4554389715194702,0.4340827167034149,0.4509201943874359,0.45989760756492615,0.5254440307617188,0.5504695177078247,0.5644801259040833,0.5834725499153137,0.6157654523849487,0.5596198439598083,0.5942738652229309,0.03048066192195767,-0.02284966497394565,0.026967386596850454,-0.0004551082199060152,-0.010031486460667784,-0.0008548227515780781,0.08034393930347226,0.7465248703956604,AdriaM
0.033776503056287766,0.1237576641613924,0.7341772151898734,0.29377347230911255,0.0,0.011976810172200203,0.001140852109529078,-0.48060498354963743,16.3424653381508,1.4923900835128734e-06,3.1559411013404315e-06,46.02653503417969,6543,0.8727365141539222,1748.7963118768726,1385812.5598627166,1.2611020834036453,2.338808044680328,1964.8620059307639,860706.4464835174,3805.5166510087024,0.2170937955379486,19.725305659174644,-555.6825561523438,38.20119857788086,1.1273938417434692,14.403088569641113,-8.711570739746094,-11.548921585083008,-4.391237735748291,-4.893530368804932,-2.21859073638916,-4.9831013679504395,-3.6439476013183594,0.3045923709869385,-1.4697425365447998,0.4055929481983185,0.4128592908382416,0.44327375292778015,0.5205128788948059,0.49824899435043335,0.3971578776836395,0.40730494260787964,0.4239872694015503,0.5981884002685547,0.6202722191810608,0.44113704562187195,0.421630859375,-0.065597338365852,-0.0569791484092608,-0.018006344408363503,0.1161080200484466,-0.03873484505313894,-0.004279677538036201,0.061616117656092054,0.8617636561393738,AdriaM
0.060445315269259066,0.4514870945411392,0.0,0.3788058223487637,2.6306305111095863e-06,0.046229566372037165,0.0036535707475225812,-0.08961465545511439,1.5428830261416309,0.0372365896699854,0.07453834434978858,147.402296351477,18513,1.912631561856034,5383.1234282912055,85070.7236142524,-1.7602997916843082,2.687542229061961,3224.9263392888865,6975.054732691929,9318.698081487342,0.4912846899060413,12.74174381310095,-88.46756280488945,-0.19636832004268978,2.6269713146148566,2.053616991444093,0.11028085870581579,-1.995265433864121,-2.8100856112863095,-2.742550038633688,-2.5574083190189443,-1.5519909560164518,-1.0724994036689035,-0.7208607212404547,-0.4279712089131102,0.6665783935386805,0.6714686657640526,0.6828387015606671,0.7178808215924778,0.7830232465783242,0.6855607533470658,0.5880287202587475,0.5959742730208478,0.7099764624279039,0.8089756789356509,0.677210184911722,0.6552088266175746,-0.047550922309108505,-0.025577433153374376,-0.0067942792020705975,0.04786904749070864,-0.0228045723000603,-0.004564650528545542,1.263749462737231,0.8899367945976384,AdriaM
0.03377606347203255,0.11472137064873418,0.7468354430379747,0.29377347230911255,0.0,0.011957288719713688,0.0011408224236220121,-0.4806313430323865,16.343477581592328,7.542658408965508e-07,1.5677180726925144e-06,46.02533721923828,5894,0.8727365141539222,1546.4706983678498,1223492.754517282,0.6294845388043647,0.45685382557717213,1821.17738200719,1106541.9019382396,3475.2954410601264,0.26047903299331665,19.77847067532445,-557.8696899414062,35.08300018310547,0.9876746535301208,16.402355194091797,-6.454744338989258,-10.437987327575684,-4.155388355255127,-4.863209247589111,-2.093040704727173,-5.021770477294922,-4.1350812911987305,-0.487113893032074,-2.2612156867980957,0.37134718894958496,0.3600366413593292,0.3827451169490814,0.4353204071521759,0.4526488482952118,0.36014291644096375,0.3403945863246918,0.37183234095573425,0.5319855809211731,0.6322460174560547,0.4269447922706604,0.38150742650032043,-0.05423868350596141,-0.06521048052810176,-0.023543233570608214,0.11381229107515677,-0.031084230442300523,-0.010405075199949229,0.06139115223000752,0.7825648188591003,AdriaM
0.02523285150527954,0.06340967465753425,0.726027397260274,0.17505323886871338,0.0,0.010025305673480034,0.0006366968154907227,-0.30799962601584213,9.32267297654398,1.7331372873741202e-05,3.4713989407464396e-05,23.521488189697266,3035,1.0579316288997855,1723.3762211802746,903889.0107711649,2.122193402143058,6.621433515184034,2044.3079093093477,560876.1636718055,3747.072319135274,0.12445977330207825,21.316176092070407,-587.7193603515625,43.96200180053711,0.9085661172866821,15.3667631149292,-9.892332077026367,-13.952736854553223,-6.331781387329102,-5.941206455230713,-2.9548377990722656,-5.591658592224121,-3.5565290451049805,0.8267222046852112,-0.6560696363449097,0.3831758499145508,0.38857802748680115,0.4200766384601593,0.5439506769180298,0.4856396019458771,0.348204642534256,0.3637048900127411,0.3731682300567627,0.5725741982460022,0.580888569355011,0.4000782072544098,0.3964023292064667,-0.0008800720842072401,-0.05075190195765345,-0.06035840973793921,0.11409845482557951,-0.016283047021480933,0.0147832880667347,0.04436448416790696,0.7970029711723328,AdriaM
