Feature,RFE Ranking
rms,0.8627450980392156
tasa_cruces_cero,0.27450980392156854
proporcion_silencio,0.5098039215686274
amplitud_maxima,0.6862745098039216
amplitud_minima,0.0
amplitud_media,0.6274509803921569
varianza_amplitud,0.7058823529411764
asimetria_amplitud,0.7647058823529411
curtosis_amplitud,0.4117647058823529
mediana_amplitud,0.6666666666666666
rango_intercuartilico,0.588235294117647
pico_autocorrelacion,0.9999999999999999
cruces_umbral,0.13725490196078427
entropia_temporal,0.21568627450980382
centroide_espectral_media,0.4509803921568627
centroide_espectral_varianza,0.33333333333333326
centroide_espectral_asimetria,0.2549019607843137
centroide_espectral_curtosis,0.3529411764705882
ancho_banda_media,0.8039215686274509
ancho_banda_varianza,0.23529411764705876
rolloff_espectral_media,0.5686274509803921
planitud_espectral_media,0.7254901960784312
contrast_espectral_media,0.37254901960784303
mfcc1_media,0.9999999999999999
mfcc2_media,0.7450980392156862
mfcc3_media,0.9999999999999999
mfcc4_media,0.8431372549019607
mfcc5_media,0.9999999999999999
mfcc6_media,0.9803921568627451
mfcc7_media,0.8235294117647058
mfcc8_media,0.9999999999999999
mfcc9_media,0.9607843137254901
mfcc10_media,0.9019607843137254
mfcc11_media,0.9215686274509803
mfcc12_media,0.8823529411764706
mfcc13_media,0.9411764705882353
chroma1_media,0.6470588235294117
chroma2_media,0.6078431372549019
chroma3_media,0.392156862745098
chroma4_media,0.4901960784313725
chroma5_media,0.3137254901960784
chroma6_media,0.196078431372549
chroma7_media,0.47058823529411753
chroma8_media,0.5490196078431372
chroma9_media,0.2941176470588235
chroma10_media,0.1568627450980391
chroma11_media,0.43137254901960775
chroma12_media,0.5294117647058822
tonnetz1_media,0.039215686274509776
tonnetz2_media,0.0980392156862745
tonnetz3_media,0.07843137254901955
tonnetz4_media,0.11764705882352933
tonnetz5_media,0.019607843137254832
tonnetz6_media,0.05882352941176461
coeficiente_polinomico0,0.784313725490196
densidad_onset,0.17647058823529405
