Feature,Combined Scores
rms,0.48385465631622493
tasa_cruces_cero,0.25701037260426246
proporcion_silencio,0.3661748304140089
amplitud_maxima,0.5361193294979507
amplitud_minima,0.023697339246119734
amplitud_media,0.39133936057647906
varianza_amplitud,0.3603360129177058
asimetria_amplitud,0.541809618287267
curtosis_amplitud,0.29454529791867556
mediana_amplitud,0.4687876226762734
rango_intercuartilico,0.40278110217909685
pico_autocorrelacion,0.4966034560760336
cruces_umbral,0.18794206204739822
entropia_temporal,0.23691681209798116
centroide_espectral_media,0.2810294673340439
centroide_espectral_varianza,0.262444592065778
centroide_espectral_asimetria,0.226001441766579
centroide_espectral_curtosis,0.24740993854273638
ancho_banda_media,0.42438121659945904
ancho_banda_varianza,0.24597532712465106
rolloff_espectral_media,0.3216907963016166
planitud_espectral_media,0.4410300241999547
contrast_espectral_media,0.28140011014707367
mfcc1_media,0.579129711751663
mfcc2_media,0.4679960571354598
mfcc3_media,0.9435983538489223
mfcc4_media,0.5363634038818519
mfcc5_media,0.5950507128771316
mfcc6_media,0.5930866441636963
mfcc7_media,0.5340059361006504
mfcc8_media,0.6372026411200251
mfcc9_media,0.6041973510784682
mfcc10_media,0.5410473691236178
mfcc11_media,0.5302874802953709
mfcc12_media,0.5555703715145567
mfcc13_media,0.5416322616783673
chroma1_media,0.41090941937931025
chroma2_media,0.38177992320880594
chroma3_media,0.27327395306560887
chroma4_media,0.2944380057460638
chroma5_media,0.2728594540816276
chroma6_media,0.19012433985268495
chroma7_media,0.3196931520544042
chroma8_media,0.3253318503158833
chroma9_media,0.2530071790150471
chroma10_media,0.20648108069772014
chroma11_media,0.2703359851068379
chroma12_media,0.2925860815562909
tonnetz1_media,0.10860975424972674
tonnetz2_media,0.10438834863791285
tonnetz3_media,0.15784539678793866
tonnetz4_media,0.2058666445353057
tonnetz5_media,0.08831872913219366
tonnetz6_media,0.10957117391362076
coeficiente_polinomico0,0.46575791187987514
densidad_onset,0.27829097241528655
