Feature,Mutual Information
rms,0.7406336159174802
tasa_cruces_cero,0.39211261775933937
proporcion_silencio,0.7065583712625745
amplitud_maxima,0.7220609013142667
amplitud_minima,0.0
amplitud_media,0.814292271226398
varianza_amplitud,0.7354616987296468
asimetria_amplitud,0.6037521029912488
curtosis_amplitud,0.4820484148389125
mediana_amplitud,0.8548252874530613
rango_intercuartilico,0.923665167813818
pico_autocorrelacion,0.7197841125524718
cruces_umbral,0.21872620653922992
entropia_temporal,0.4315375149020765
centroide_espectral_media,0.5007427986870734
centroide_espectral_varianza,0.37054703049518906
centroide_espectral_asimetria,0.31595524752368737
centroide_espectral_curtosis,0.2608670921127742
ancho_banda_media,0.5776387744887889
ancho_banda_varianza,0.3528200511619668
rolloff_espectral_media,0.565142386110775
planitud_espectral_media,0.5774325614752677
contrast_espectral_media,0.39883856067003054
mfcc1_media,0.9999999999999999
mfcc2_media,0.6679061449802551
mfcc3_media,0.7743934153956892
mfcc4_media,0.660409487011256
mfcc5_media,0.7610232506216084
mfcc6_media,0.6613557501689801
mfcc7_media,0.574689454589115
mfcc8_media,0.7256398327727832
mfcc9_media,0.6732999908101119
mfcc10_media,0.5515856766596817
mfcc11_media,0.5998030232205251
mfcc12_media,0.5710815382298713
mfcc13_media,0.603955680338094
chroma1_media,0.445026747557674
chroma2_media,0.4458840943829827
chroma3_media,0.41102764131334646
chroma4_media,0.4248064988766078
chroma5_media,0.4079784015184586
chroma6_media,0.3437980854661288
chroma7_media,0.3857896944312597
chroma8_media,0.34543417922970854
chroma9_media,0.2944077430590144
chroma10_media,0.2871325311296486
chroma11_media,0.3129425665740407
chroma12_media,0.3465866635148468
tonnetz1_media,0.1224960579971245
tonnetz2_media,0.10942548706936804
tonnetz3_media,0.2142584185938659
tonnetz4_media,0.18863548384097512
tonnetz5_media,0.14519700687267278
tonnetz6_media,0.12114631036688696
coeficiente_polinomico0,0.8425760151556904
densidad_onset,0.3031012836874929
