Feature,LightGBM Importance
rms,0.332039911308204
tasa_cruces_cero,0.3614190687361419
proporcion_silencio,0.24833702882483372
amplitud_maxima,0.7361419068736142
amplitud_minima,0.09478935698447893
amplitud_media,0.1236141906873614
varianza_amplitud,0.0
asimetria_amplitud,0.7987804878048781
curtosis_amplitud,0.2843680709534368
mediana_amplitud,0.35365853658536583
rango_intercuartilico,0.09922394678492238
pico_autocorrelacion,0.26662971175166295
cruces_umbral,0.3957871396895787
entropia_temporal,0.3004434589800443
centroide_espectral_media,0.17239467849223947
centroide_espectral_varianza,0.3458980044345898
centroide_espectral_asimetria,0.33314855875831484
centroide_espectral_curtosis,0.3758314855875831
ancho_banda_media,0.31596452328159647
ancho_banda_varianza,0.3957871396895787
rolloff_espectral_media,0.15299334811529933
planitud_espectral_media,0.4611973392461198
contrast_espectral_media,0.35421286031042126
mfcc1_media,0.3165188470066519
mfcc2_media,0.45898004434589795
mfcc3_media,1.0
mfcc4_media,0.6419068736141907
mfcc5_media,0.619179600886918
mfcc6_media,0.7305986696230599
mfcc7_media,0.7378048780487806
mfcc8_media,0.8231707317073171
mfcc9_media,0.7827050997782705
mfcc10_media,0.7106430155210643
mfcc11_media,0.5997782705099779
mfcc12_media,0.7688470066518848
mfcc13_media,0.6213968957871397
chroma1_media,0.5515521064301553
chroma2_media,0.4733924611973392
chroma3_media,0.28991130820399114
chroma4_media,0.26274944567627495
chroma5_media,0.3697339246119734
chroma6_media,0.2206208425720621
chroma7_media,0.42239467849223944
chroma8_media,0.40687361419068735
chroma9_media,0.42350332594235035
chroma10_media,0.3819290465631929
chroma11_media,0.3370288248337029
chroma12_media,0.29434589800443456
tonnetz1_media,0.2727272727272727
tonnetz2_media,0.21008869179600886
tonnetz3_media,0.3386917960088692
tonnetz4_media,0.5171840354767184
tonnetz5_media,0.188470066518847
tonnetz6_media,0.2583148558758315
coeficiente_polinomico0,0.2361419068736142
densidad_onset,0.6335920177383593
