iter	Logloss
0	0.6925465107
1	0.691895473
2	0.6912852645
3	0.6905906081
4	0.6898594499
5	0.6893308461
6	0.6888283312
7	0.688139987
8	0.6876562178
9	0.6868482292
10	0.6861214876
11	0.6855965972
12	0.6845921636
13	0.683542335
14	0.6826376438
15	0.6819170475
16	0.6812491834
17	0.6803719223
18	0.6795811176
19	0.6789802849
20	0.6783499956
21	0.6776732266
22	0.676596576
23	0.6760455728
24	0.6754222631
25	0.6749088407
26	0.6739592433
27	0.6730118573
28	0.6722257793
29	0.6712811828
30	0.6706142128
31	0.6702240527
32	0.6695410788
33	0.6690752029
34	0.66821841
35	0.6675536871
36	0.6667823493
37	0.6657259464
38	0.6649514854
39	0.6643377602
40	0.6634078026
41	0.6630011439
42	0.6624665499
43	0.6618905902
44	0.6610452116
45	0.6605117738
46	0.6596701801
47	0.6589839041
48	0.6582241237
49	0.6575424314
50	0.6563068748
51	0.6554716349
52	0.6547920704
53	0.6542677999
54	0.6531008422
55	0.6521108866
56	0.6512049615
57	0.6504546046
58	0.6496282935
59	0.6489743352
60	0.6483402431
61	0.6475671053
62	0.6463553905
63	0.6457644701
64	0.6452474594
65	0.6444303036
66	0.6434319794
67	0.6426950276
68	0.6421090424
69	0.6413716853
70	0.6409717262
71	0.6402011275
72	0.6396651089
73	0.6387811363
74	0.6379728317
75	0.6375247061
76	0.6369926929
77	0.6360009611
78	0.635272646
79	0.6344738424
80	0.6340245962
81	0.6332977712
82	0.6325021088
83	0.6317827821
84	0.6309138536
85	0.6304138303
86	0.629621768
87	0.6292037785
88	0.6288351417
89	0.6280454397
90	0.6270694852
91	0.6262030303
92	0.6254193842
93	0.6243163764
94	0.6238862038
95	0.6229940057
96	0.6222893119
97	0.6218642473
98	0.6210133433
99	0.6204039812
100	0.6198933125
101	0.6196981192
102	0.6190060318
103	0.6184690714
104	0.6178016901
105	0.6170266688
106	0.6165105939
107	0.6160796523
108	0.6155600965
109	0.6149274945
110	0.6140846431
111	0.6133552551
112	0.6126565576
113	0.6121385813
114	0.6114569962
115	0.6108386219
116	0.6106300652
117	0.6100084186
118	0.6090882659
119	0.6084805429
120	0.6076783836
121	0.6070646703
122	0.60623914
123	0.6054894686
124	0.6049870253
125	0.6043186009
126	0.6036059499
127	0.6029318035
128	0.6025959611
129	0.601995492
130	0.6013166428
131	0.6004007697
132	0.5993016958
133	0.5988701582
134	0.5983752191
135	0.5978507757
136	0.5972890496
137	0.5966979742
138	0.5965215504
139	0.595852387
140	0.5952551782
141	0.5945939004
142	0.5941039741
143	0.5936762989
144	0.5929398894
145	0.5920679867
146	0.5916479111
147	0.5912344038
148	0.5907183826
149	0.5898183584
150	0.5894088328
151	0.5883716702
152	0.5877180576
153	0.5873056114
154	0.5867084503
155	0.5860330999
156	0.5853812039
157	0.5848377168
158	0.5843955874
159	0.5836093187
160	0.5832023442
161	0.5827217042
162	0.5819433033
163	0.5810634553
164	0.5802780211
165	0.5797004521
166	0.5792274415
167	0.5784254849
168	0.5775773287
169	0.5770384192
170	0.576685977
171	0.5762183726
172	0.5756682217
173	0.5752237797
174	0.5747517526
175	0.5741452038
176	0.5731046259
177	0.572695452
178	0.5723243117
179	0.5717921197
180	0.5712935865
181	0.5708598495
182	0.5704782963
183	0.5698536277
184	0.5692306459
185	0.5685199738
186	0.5677706242
187	0.5672405958
188	0.5667457283
189	0.5662191749
190	0.5656006932
191	0.564920342
192	0.5643950522
193	0.5637645066
194	0.5632844985
195	0.562532711
196	0.5620755732
197	0.5617036402
198	0.5610284925
199	0.560346365
200	0.5596044481
201	0.5592189252
202	0.5590622127
203	0.5586800218
204	0.5578837335
205	0.5575165927
206	0.5570447803
207	0.5565036416
208	0.5559602082
209	0.5551609039
210	0.5546947598
211	0.553823036
212	0.5533844769
213	0.5527223229
214	0.5517725706
215	0.5512725294
216	0.551050967
217	0.5503938735
218	0.5497985005
219	0.5493004024
220	0.5489646018
221	0.5485421598
222	0.5477561355
223	0.5472371519
224	0.5469923615
225	0.5464998841
226	0.5455553412
227	0.5449635983
228	0.5442525387
229	0.5436649382
230	0.5426996827
231	0.5419915974
232	0.5415664732
233	0.5409654379
234	0.5404702663
235	0.5401298404
236	0.5396115899
237	0.5391476512
238	0.538628298
239	0.5380477071
240	0.5374695063
241	0.5367488563
242	0.536117816
243	0.5354756236
244	0.5348436654
245	0.534488982
246	0.5336630464
247	0.5326235414
248	0.5321522713
249	0.5315970361
250	0.5310960412
251	0.5301556408
252	0.5297204912
253	0.5293410122
254	0.5291753709
255	0.5290091097
256	0.528574419
257	0.5279605985
258	0.5276441693
259	0.5273126185
260	0.526896739
261	0.5262199879
262	0.5251732051
263	0.5247112811
264	0.5242522001
265	0.5235704541
266	0.5231684685
267	0.5225482762
268	0.5218714118
269	0.5214660287
270	0.5206412852
271	0.5202712417
272	0.5199599028
273	0.5197366238
274	0.5191236615
275	0.5189863145
276	0.518471992
277	0.5178691149
278	0.5172664464
279	0.5167769551
280	0.5161111772
281	0.5155542374
282	0.5149576426
283	0.5145188391
284	0.5138430953
285	0.5134202182
286	0.5129592478
287	0.5126266241
288	0.5120896697
289	0.5117739022
290	0.5111804187
291	0.5105905354
292	0.5097349882
293	0.5095766783
294	0.5093197823
295	0.508479178
296	0.5080028534
297	0.5074195147
298	0.5069562495
299	0.5063731432
300	0.505842793
301	0.5054252088
302	0.5043483377
303	0.5037695169
304	0.5033703685
305	0.5032168448
306	0.5028023362
307	0.5022262275
308	0.5015775502
309	0.5011877418
310	0.5004952133
311	0.4999858797
312	0.4996523499
313	0.4991982281
314	0.49892084
315	0.4985068083
316	0.4983777821
317	0.4979821205
318	0.4975642323
319	0.4969060957
320	0.4963308752
321	0.495687449
322	0.49527089
323	0.4948653519
324	0.4942225814
325	0.493809396
326	0.4936440408
327	0.4932383299
328	0.4926157236
329	0.4920559287
330	0.4917556167
331	0.4913613021
332	0.4910412252
333	0.4908054769
334	0.4902498126
335	0.4896948755
336	0.4895412743
337	0.4891154706
338	0.4884947121
339	0.4879939973
340	0.487493223
341	0.4869292617
342	0.4864309609
343	0.4860048592
344	0.4855054975
345	0.4848135829
346	0.4842747688
347	0.4838543475
348	0.4834985971
349	0.4831029713
350	0.4824775338
351	0.4820538044
352	0.48170169
353	0.4813211322
354	0.4809241891
355	0.4802415311
356	0.4798374832
357	0.4792364955
358	0.4789338171
359	0.4786073387
360	0.4781824768
361	0.4776964128
362	0.4770934343
363	0.4767199755
364	0.4760462523
365	0.475570631
366	0.4752095997
367	0.474615711
368	0.4738627017
369	0.4733105183
370	0.4727080166
371	0.4723134458
372	0.4719063163
373	0.4714894474
374	0.4710617125
375	0.4705362439
376	0.4701279879
377	0.4697065353
378	0.4693400443
379	0.4688057125
380	0.4682826698
381	0.4678099632
382	0.4674483597
383	0.4669700325
384	0.4666303217
385	0.4661594212
386	0.4655838311
387	0.464878267
388	0.4642848492
389	0.4638384461
390	0.4634020448
391	0.4626709938
392	0.4624254882
393	0.4619915724
394	0.4614813924
395	0.4611484289
396	0.4607822537
397	0.4602728546
398	0.4597535193
399	0.459302938
400	0.4586019099
401	0.4582839191
402	0.4577762902
403	0.4573177457
404	0.4566807032
405	0.4563324451
406	0.4558221877
407	0.4553080112
408	0.454964745
409	0.4547188342
410	0.4543939203
411	0.4541276634
412	0.4537659079
413	0.453268677
414	0.4531596065
415	0.4527727187
416	0.4524041444
417	0.4520901263
418	0.4517234355
419	0.4512292475
420	0.4506264865
421	0.4501199901
422	0.4498479038
423	0.4495069832
424	0.4492821395
425	0.4489067525
426	0.4485444218
427	0.4482867002
428	0.4479968548
429	0.4476899296
430	0.4473055005
431	0.4468640804
432	0.446368891
433	0.4460386097
434	0.4456669629
435	0.4452726334
436	0.4447889805
437	0.4443478107
438	0.4440457821
439	0.4437461972
440	0.4430731177
441	0.4425315946
442	0.4419237256
443	0.4413888484
444	0.4408564955
445	0.4405477256
446	0.4399674833
447	0.4397514999
448	0.4392148018
449	0.4388426036
450	0.4383087635
451	0.4374785811
452	0.4371194303
453	0.4366455019
454	0.4362170786
455	0.4359306276
456	0.4354510903
457	0.4351272821
458	0.4348919898
459	0.4344206482
460	0.4339529842
461	0.4334349215
462	0.4332003027
463	0.4329552799
464	0.4323754728
465	0.4320477664
466	0.4315254778
467	0.431178841
468	0.4306684405
469	0.4300246507
470	0.4296167195
471	0.429198429
472	0.4287816197
473	0.4283243418
474	0.4278642714
475	0.4276245952
476	0.4271875203
477	0.4267306
478	0.4262953728
479	0.4259564728
480	0.4256536901
481	0.4253181726
